index,image_link,group_id,entity_name
22,https://m.media-amazon.com/images/I/21DZ7BAZ6-L.jpg,498074,item_volume
101,https://m.media-amazon.com/images/I/31-Jdk3SMUL.jpg,961822,item_volume
147,https://m.media-amazon.com/images/I/310uxz1C1+L.jpg,825954,item_volume
161,https://m.media-amazon.com/images/I/311PssCBQIL.jpg,961822,item_volume
253,https://m.media-amazon.com/images/I/316cJ-vBGqL.jpg,369753,item_volume
336,https://m.media-amazon.com/images/I/31B8KtbFc-L.jpg,369753,item_volume
354,https://m.media-amazon.com/images/I/31C4TM0tL5L.jpg,252585,item_volume
368,https://m.media-amazon.com/images/I/31CwBXxyu4L.jpg,199071,item_volume
372,https://m.media-amazon.com/images/I/31D+TJtQ3tL.jpg,961822,item_volume
390,https://m.media-amazon.com/images/I/31DmuoP26RL.jpg,557758,item_volume
401,https://m.media-amazon.com/images/I/31E4X+OlLaL.jpg,557758,item_volume
420,https://m.media-amazon.com/images/I/31EhbdBcSRL.jpg,961822,item_volume
467,https://m.media-amazon.com/images/I/31GWCSzvXfL.jpg,271722,item_volume
481,https://m.media-amazon.com/images/I/31H8g7yOh1S.jpg,625842,item_volume
495,https://m.media-amazon.com/images/I/31HVBTKNjBL.jpg,254449,item_volume
505,https://m.media-amazon.com/images/I/31HhQIgtn2L.jpg,916768,item_volume
540,https://m.media-amazon.com/images/I/31KCW7EbmnL.jpg,622534,item_volume
574,https://m.media-amazon.com/images/I/31Lahs4a9SL.jpg,373285,item_volume
602,https://m.media-amazon.com/images/I/31NGa8b9Q0L.jpg,120569,item_volume
648,https://m.media-amazon.com/images/I/31PPUpj2BtL.jpg,369753,item_volume
670,https://m.media-amazon.com/images/I/31QGs1+CN0L.jpg,254449,item_volume
685,https://m.media-amazon.com/images/I/31R5ZdhErKL.jpg,373285,item_volume
690,https://m.media-amazon.com/images/I/31RbLlQjb7L.jpg,271722,item_volume
699,https://m.media-amazon.com/images/I/31RqISdkbuL.jpg,961822,item_volume
740,https://m.media-amazon.com/images/I/31TxewHJwzL.jpg,254449,item_volume
765,https://m.media-amazon.com/images/I/31Umrh6whVL.jpg,225091,item_volume
815,https://m.media-amazon.com/images/I/31WnLEgpRlL.jpg,373285,item_volume
831,https://m.media-amazon.com/images/I/31XXdRjvC7L.jpg,373285,item_volume
849,https://m.media-amazon.com/images/I/31YOyBNBFzL.jpg,916768,item_volume
859,https://m.media-amazon.com/images/I/31ZPHoWw4kL.jpg,625842,item_volume
867,https://m.media-amazon.com/images/I/31Zb3MwT3WL.jpg,369753,item_volume
904,https://m.media-amazon.com/images/I/31bYRySIMfL.jpg,254449,item_volume
980,https://m.media-amazon.com/images/I/31f7M8BVXDL.jpg,369753,item_volume
986,https://m.media-amazon.com/images/I/31fnfbla7iL.jpg,557758,item_volume
1005,https://m.media-amazon.com/images/I/31gZz5BKh3L.jpg,961822,item_volume
1037,https://m.media-amazon.com/images/I/31iixksXnlL.jpg,557758,item_volume
1040,https://m.media-amazon.com/images/I/31ijLWSk38L.jpg,916768,item_volume
1053,https://m.media-amazon.com/images/I/31jUhgPjjQL.jpg,961822,item_volume
1094,https://m.media-amazon.com/images/I/31lPL7RW5FL.jpg,557758,item_volume
1104,https://m.media-amazon.com/images/I/31lyhyiwmpL.jpg,225091,item_volume
1111,https://m.media-amazon.com/images/I/31mIX612nhL.jpg,625842,item_volume
1156,https://m.media-amazon.com/images/I/31nesOjp2lL.jpg,557758,item_volume
1181,https://m.media-amazon.com/images/I/31pAbHSvESL.jpg,373285,item_volume
1182,https://m.media-amazon.com/images/I/31pMocoZ2pL.jpg,625842,item_volume
1186,https://m.media-amazon.com/images/I/31pXX4Rez+L.jpg,120569,item_volume
1242,https://m.media-amazon.com/images/I/31rYN2-vAwL.jpg,120569,item_volume
1251,https://m.media-amazon.com/images/I/31s2tWVg9AL.jpg,625842,item_volume
1260,https://m.media-amazon.com/images/I/31seJ7PdwRL.jpg,941694,item_volume
1266,https://m.media-amazon.com/images/I/31t5Ht4MivL.jpg,941694,item_volume
1274,https://m.media-amazon.com/images/I/31tXrRth57L.jpg,557758,item_volume
1284,https://m.media-amazon.com/images/I/31tuv1MCMTL.jpg,625842,item_volume
1324,https://m.media-amazon.com/images/I/31vU+EHmNHL.jpg,557758,item_volume
1328,https://m.media-amazon.com/images/I/31vfhhibC+L.jpg,373285,item_volume
1393,https://m.media-amazon.com/images/I/31zSQ-G8z4L.jpg,254449,item_volume
1399,https://m.media-amazon.com/images/I/31zoGB7n15L.jpg,941694,item_volume
1542,https://m.media-amazon.com/images/I/41+YVjpxV7L.jpg,961822,item_volume
1543,https://m.media-amazon.com/images/I/41+YkWViwKL.jpg,588284,item_volume
1596,https://m.media-amazon.com/images/I/41+hPNbW8OL.jpg,369753,item_volume
1625,https://m.media-amazon.com/images/I/41+o0Q5BAAL.jpg,625842,item_volume
1667,https://m.media-amazon.com/images/I/41+ule8ojxL.jpg,557758,item_volume
1676,https://m.media-amazon.com/images/I/41+xPa08Z0L.jpg,625842,item_volume
1717,https://m.media-amazon.com/images/I/41-4xAZOZTL.jpg,941694,item_volume
1820,https://m.media-amazon.com/images/I/41-U4XdZjEL.jpg,961822,item_volume
1860,https://m.media-amazon.com/images/I/41-b73g5V2S.jpg,916768,item_volume
1927,https://m.media-amazon.com/images/I/41-u067zYZL.jpg,625842,item_volume
1929,https://m.media-amazon.com/images/I/41-v3aK4Z2L.jpg,625842,item_volume
1942,https://m.media-amazon.com/images/I/41-x1JgcpJL.jpg,230153,item_volume
1945,https://m.media-amazon.com/images/I/41-xXiLK2uL.jpg,468581,item_volume
1960,https://m.media-amazon.com/images/I/41-zgiJ0SfL.jpg,625842,item_volume
2017,https://m.media-amazon.com/images/I/410A0ce9SmL.jpg,373285,item_volume
2037,https://m.media-amazon.com/images/I/410GHdZh9qL.jpg,225091,item_volume
2070,https://m.media-amazon.com/images/I/410ONjm5I3S.jpg,625842,item_volume
2189,https://m.media-amazon.com/images/I/410o5KPjEcL.jpg,625842,item_volume
2212,https://m.media-amazon.com/images/I/410uOhMSz0L.jpg,225091,item_volume
2302,https://m.media-amazon.com/images/I/411Eh2W47dL.jpg,468535,item_volume
2306,https://m.media-amazon.com/images/I/411FKBANKnL.jpg,373285,item_volume
2335,https://m.media-amazon.com/images/I/411OLaVT4qL.jpg,916768,item_volume
2434,https://m.media-amazon.com/images/I/411o7one+FL.jpg,557758,item_volume
2483,https://m.media-amazon.com/images/I/411w-WdMxWS.jpg,625842,item_volume
2499,https://m.media-amazon.com/images/I/412+66RcwkS.jpg,373285,item_volume
2516,https://m.media-amazon.com/images/I/4122B24k-eL.jpg,625842,item_volume
2658,https://m.media-amazon.com/images/I/412YoyPRhoL.jpg,941694,item_volume
2728,https://m.media-amazon.com/images/I/412mKTHO+FL.jpg,557758,item_volume
2854,https://m.media-amazon.com/images/I/413EkAkEhbL.jpg,369753,item_volume
3008,https://m.media-amazon.com/images/I/414++KqRsqL.jpg,557758,item_volume
3068,https://m.media-amazon.com/images/I/414E90j3xgL.jpg,941694,item_volume
3115,https://m.media-amazon.com/images/I/414Q4X5xYJL.jpg,120569,item_volume
3120,https://m.media-amazon.com/images/I/414S-mliNjL.jpg,557758,item_volume
3256,https://m.media-amazon.com/images/I/414yfl4i+CL.jpg,447645,item_volume
3257,https://m.media-amazon.com/images/I/414ytxJ2uBL.jpg,142295,item_volume
3258,https://m.media-amazon.com/images/I/414yz3F0TEL.jpg,911827,item_volume
3287,https://m.media-amazon.com/images/I/4157Smkn6yL.jpg,281678,item_volume
3290,https://m.media-amazon.com/images/I/415884EySHL.jpg,373285,item_volume
3352,https://m.media-amazon.com/images/I/415Qu9++qhS.jpg,120569,item_volume
3383,https://m.media-amazon.com/images/I/415X3LEkcOL.jpg,225091,item_volume
3446,https://m.media-amazon.com/images/I/415o6B2NzSL.jpg,916768,item_volume
3457,https://m.media-amazon.com/images/I/415pM2RVWhL.jpg,941694,item_volume
3467,https://m.media-amazon.com/images/I/415sEWuyKCL.jpg,625842,item_volume
3529,https://m.media-amazon.com/images/I/4165GWFW0UL.jpg,120569,item_volume
3594,https://m.media-amazon.com/images/I/416N6bACYHL.jpg,941694,item_volume
